transaction_date,merchant,category_name,amount,transaction_type,notes

2025-06-01,Tim Hortons,Food,5.10,Expense,Coffee
2025-06-02,GO Transit,Transportation,12.60,Expense,Commute
2025-06-04,Walmart,Groceries,73.25,Expense,Groceries
2025-06-06,Amazon,Shopping,45.20,Expense,Online purchase
2025-06-08,Part-Time Job,Income,450.00,Income,Paycheck
2025-06-10,McDonalds,Food,9.90,Expense,Meal
2025-06-12,Uber,Transportation,18.40,Expense,Ride
2025-06-14,GoodLife Fitness,Fitness,34.99,Expense,Gym
2025-06-16,Netflix,Subscription,15.99,Expense,Streaming
2025-06-18,No Frills,Groceries,62.80,Expense,Groceries
2025-06-20,Starbucks,Food,6.15,Expense,Coffee
2025-06-22,Part-Time Job,Income,461.35,Income,Paycheck
2025-06-24,Amazon,Shopping,80.00,Expense,Online purchase
2025-06-26,GO Transit,Transportation,12.60,Expense,Commute
2025-06-28,No Frills,Groceries,59.75,Expense,Groceries
